CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 202.000000 1642041423.6749
MEM 188.808594 1642041423.7869
MEM 197.191406 1642041423.8989
MEM 197.804688 1642041424.0109
MEM 197.800781 1642041424.1229
MEM 197.613281 1642041424.2349
MEM 208.382812 1642041424.3470
MEM 220.320312 1642041424.4590
MEM 197.667969 1642041424.5710
MEM 181.363281 1642041424.6830
MEM 195.546875 1642041424.7951
MEM 180.750000 1642041424.9071
MEM 196.468750 1642041425.0191
MEM 161.769531 1642041425.1311
MEM 171.734375 1642041425.2432
MEM 178.613281 1642041425.3552
MEM 179.648438 1642041425.4672
MEM 187.855469 1642041425.5793
MEM 188.726562 1642041425.6913
MEM 192.636719 1642041425.8033
MEM 202.929688 1642041425.9153
MEM 219.414062 1642041426.0254
MEM 224.476562 1642041426.1374
MEM 207.433594 1642041426.2494
MEM 174.363281 1642041426.3614
MEM 162.167969 1642041426.4735
MEM 167.953125 1642041426.5855
MEM 167.921875 1642041426.6975
MEM 168.031250 1642041426.8095
MEM 169.171875 1642041426.9216
MEM 171.191406 1642041427.0316
MEM 178.347656 1642041427.1416
MEM 187.105469 1642041427.2536
MEM 192.125000 1642041427.3657
MEM 209.675781 1642041427.4777
MEM 218.609375 1642041427.5897
MEM 210.617188 1642041427.7017
MEM 218.386719 1642041427.8138
MEM 226.097656 1642041427.9258
MEM 198.031250 1642041428.0378
MEM 162.234375 1642041428.1498
MEM 162.250000 1642041428.2619
MEM 171.945312 1642041428.3739
MEM 175.878906 1642041428.4859
MEM 188.382812 1642041428.5979
MEM 188.929688 1642041428.7080
MEM 189.953125 1642041428.8200
MEM 199.085938 1642041428.9320
MEM 200.164062 1642041429.0440
MEM 209.343750 1642041429.1561
MEM 209.507812 1642041429.2681
MEM 219.410156 1642041429.3801
MEM 216.507812 1642041429.4922
MEM 188.601562 1642041429.6042
MEM 181.332031 1642041429.7162
MEM 193.492188 1642041429.8282
MEM 162.156250 1642041429.9402
MEM 182.367188 1642041430.0523
MEM 162.156250 1642041430.1643
MEM 169.222656 1642041430.2723
MEM 178.871094 1642041430.3843
MEM 190.324219 1642041430.4964
MEM 203.675781 1642041430.6084
MEM 214.324219 1642041430.7204
MEM 213.527344 1642041430.8305
MEM 208.875000 1642041430.9405
MEM 219.687500 1642041431.0525
MEM 225.039062 1642041431.1625
MEM 183.777344 1642041431.2736
MEM 170.636719 1642041431.3846
MEM 169.429688 1642041431.4966
MEM 168.589844 1642041431.6086
MEM 168.570312 1642041431.7207
MEM 162.402344 1642041431.8327
MEM 177.636719 1642041431.9447
MEM 182.750000 1642041432.0567
MEM 190.367188 1642041432.1688
MEM 203.945312 1642041432.2788
MEM 209.542969 1642041432.3908
MEM 220.371094 1642041432.5028
MEM 204.257812 1642041432.6149
MEM 188.855469 1642041432.7269
MEM 196.195312 1642041432.8389
MEM 197.484375 1642041432.9509
MEM 196.195312 1642041433.0630
MEM 172.832031 1642041433.1750
MEM 170.105469 1642041433.2870
MEM 162.410156 1642041433.3990
MEM 169.601562 1642041433.5111
MEM 179.156250 1642041433.6231
MEM 177.800781 1642041433.7351
MEM 181.972656 1642041433.8471
MEM 190.167969 1642041433.9592
MEM 198.210938 1642041434.0712
MEM 199.519531 1642041434.1832
MEM 209.628906 1642041434.2952
MEM 220.789062 1642041434.4073
MEM 223.371094 1642041434.5193
MEM 228.000000 1642041434.6313
MEM 227.847656 1642041434.7413
MEM 209.984375 1642041434.8534
MEM 181.808594 1642041434.9654
MEM 182.507812 1642041435.0774
MEM 163.019531 1642041435.1894
MEM 168.984375 1642041435.3015
MEM 178.769531 1642041435.4135
MEM 188.460938 1642041435.5255
MEM 190.441406 1642041435.6375
MEM 189.355469 1642041435.7496
MEM 182.976562 1642041435.8616
MEM 190.167969 1642041435.9716
MEM 204.058594 1642041436.0837
MEM 211.511719 1642041436.1957
MEM 225.320312 1642041436.3077
MEM 205.839844 1642041436.4197
MEM 181.808594 1642041436.5318
MEM 186.277344 1642041436.6438
MEM 198.500000 1642041436.7558
MEM 205.839844 1642041436.8678
MEM 194.726562 1642041436.9799
MEM 165.464844 1642041437.0899
MEM 163.027344 1642041437.2019
MEM 177.683594 1642041437.3139
MEM 182.589844 1642041437.4260
MEM 188.496094 1642041437.5380
MEM 190.363281 1642041437.6481
MEM 183.437500 1642041437.7601
MEM 190.738281 1642041437.8721
MEM 203.140625 1642041437.9841
MEM 190.402344 1642041438.0962
MEM 198.605469 1642041438.2062
MEM 200.375000 1642041438.3182
MEM 211.105469 1642041438.4292
MEM 224.265625 1642041438.5403
MEM 225.117188 1642041438.6523
MEM 219.726562 1642041438.7643
MEM 218.625000 1642041438.8764
MEM 208.933594 1642041438.9884
MEM 206.824219 1642041439.1004
MEM 204.046875 1642041439.2104
MEM 196.703125 1642041439.3205
MEM 182.804688 1642041439.4325
MEM 166.324219 1642041439.5445
MEM 177.000000 1642041439.6565
MEM 172.285156 1642041439.7686
MEM 178.011719 1642041439.8806
MEM 187.937500 1642041439.9926
